"date","broad_cat","disp_desc","n"
2016-04-30,"Violent crime, physical & sexual abuse, death","Arrest Made",1
2016-05-01,"Miscellaneous general","Arrest Made",1
2016-05-01,"Miscellaneous general","Service",6
2016-05-01,"Public services","Referred",1
2016-05-01,"Public services","Service",7
2016-05-01,"Bikes","Service",1
2016-05-01,"Checkup","Cancelled by RP",3
2016-05-01,"Checkup","Referred",2
2016-05-01,"Checkup","Service",19
2016-05-01,"Checkup","Unable to Locate",1
2016-05-01,"Checkup","Unfounded",1
2016-05-01,"Patrol","Service",11
2016-05-01,"Vehicular violations","Advised",7
2016-05-01,"Vehicular violations","Cited",4
2016-05-01,"Vehicular violations","Referred",1
2016-05-01,"Vehicular violations","Report Taken",1
2016-05-01,"Vehicular violations","Service",11
2016-05-01,"Miscellaneous crime/citation","Arrest Made",1
2016-05-01,"Miscellaneous crime/citation","Service",2
2016-05-01,"Disturbance","Advised",1
2016-05-01,"Disturbance","Arrest Made",1
2016-05-01,"Disturbance","Service",5
2016-05-01,"Disturbance","Unable to Locate",2
2016-05-01,"Accidents/injuries","Report Taken",1
2016-05-01,"Accidents/injuries","Service",2
2016-05-01,"Burglary/theft","Online Crime Report",1
2016-05-01,"Burglary/theft","Report Taken",1
2016-05-01,"Burglary/theft","Service",3
2016-05-01,"Person search","Service",1
2016-05-01,"Person search","Unfounded",1
2016-05-01,"Suspicious activity/threats","Advised",1
2016-05-01,"Suspicious activity/threats","Arrest Made",1
2016-05-01,"Suspicious activity/threats","Service",2
2016-05-01,"Suspicious activity/threats","Unable to Locate",3
2016-05-01,"Violent crime, physical & sexual abuse, death","Service",1
2016-05-02,"Miscellaneous general","Cancelled by RP",1
2016-05-02,"Miscellaneous general","Report Taken",1
2016-05-02,"Miscellaneous general","Service",3
2016-05-02,"Public services","Referred",4
2016-05-02,"Public services","Service",5
2016-05-02,"Bikes","Cited",1
2016-05-02,"Bikes","Service",1
2016-05-02,"Checkup","Cancelled by RP",1
2016-05-02,"Checkup","False Alarm",3
2016-05-02,"Checkup","Referred",1
2016-05-02,"Checkup","Service",12
2016-05-02,"Checkup","Unable to Locate",1
2016-05-02,"Patrol","Civil Problem",1
2016-05-02,"Patrol","Service",24
2016-05-02,"Vehicular violations","Advised",7
2016-05-02,"Vehicular violations","Cited",4
2016-05-02,"Vehicular violations","Referred",1
2016-05-02,"Vehicular violations","Service",17
2016-05-02,"Miscellaneous crime/citation","Advised",1
2016-05-02,"Miscellaneous crime/citation","Online Crime Report",1
2016-05-02,"Miscellaneous crime/citation","Referred",1
2016-05-02,"Miscellaneous crime/citation","Report Taken",1
2016-05-02,"Miscellaneous crime/citation","Service",9
2016-05-02,"Miscellaneous crime/citation","Unable to Locate",1
2016-05-02,"Disturbance","Advised",1
2016-05-02,"Disturbance","Report Taken",1
2016-05-02,"Disturbance","Service",3
2016-05-02,"Alcohol/drugs","Service",2
2016-05-02,"Accidents/injuries","Report Taken",1
2016-05-02,"Burglary/theft","Cancelled by RP",2
2016-05-02,"Burglary/theft","False Alarm",1
2016-05-02,"Burglary/theft","Online Crime Report",5
2016-05-02,"Burglary/theft","Report Taken",2
2016-05-02,"Burglary/theft","Service",1
2016-05-02,"Person search","Service",6
2016-05-02,"Suspicious activity/threats","Report Taken",2
2016-05-02,"Suspicious activity/threats","Service",7
2016-05-02,"Violent crime, physical & sexual abuse, death","Report Taken",1
2016-05-03,"Miscellaneous general","Arrest Made",1
2016-05-03,"Miscellaneous general","Cancelled by RP",1
2016-05-03,"Miscellaneous general","Civil Problem",1
2016-05-03,"Miscellaneous general","Report Taken",2
2016-05-03,"Miscellaneous general","Service",7
2016-05-03,"Public services","Advised",3
2016-05-03,"Public services","Civil Problem",1
2016-05-03,"Public services","Referred",3
2016-05-03,"Public services","Service",6
2016-05-03,"Public services","Unable to Locate",1
2016-05-03,"Bikes","Advised",1
2016-05-03,"Bikes","Cited",1
2016-05-03,"Bikes","Referred",2
2016-05-03,"Checkup","Advised",1
2016-05-03,"Checkup","Cancelled by RP",1
2016-05-03,"Checkup","Service",22
2016-05-03,"Checkup","Unfounded",1
2016-05-03,"Patrol","Advised",1
2016-05-03,"Patrol","Civil Problem",1
2016-05-03,"Patrol","Service",17
2016-05-03,"Vehicular violations","Advised",23
2016-05-03,"Vehicular violations","Cited",7
2016-05-03,"Vehicular violations","Referred",3
2016-05-03,"Vehicular violations","Service",11
2016-05-03,"Vehicular violations","Unable to Locate",2
2016-05-03,"Miscellaneous crime/citation","Service",8
2016-05-03,"Disturbance","Service",3
2016-05-03,"Alcohol/drugs","Service",1
2016-05-03,"Burglary/theft","Online Crime Report",1
2016-05-03,"Burglary/theft","Report Taken",2
2016-05-03,"Burglary/theft","Service",1
2016-05-03,"Person search","Advised",1
2016-05-03,"Person search","Service",5
2016-05-03,"Person search","Unable to Locate",1
2016-05-03,"Suspicious activity/threats","Cancelled by RP",2
2016-05-03,"Suspicious activity/threats","Service",3
2016-05-03,"Suspicious activity/threats","Unable to Locate",5
2016-05-03,"Suspicious activity/threats","Unfounded",1
2016-05-03,"Violent crime, physical & sexual abuse, death","Arrest Made",1
2016-05-03,"Violent crime, physical & sexual abuse, death","Unable to Locate",1
2016-05-04,"Miscellaneous general","Service",4
2016-05-04,"Public services","Referred",3
2016-05-04,"Public services","Service",8
2016-05-04,"Bikes","Advised",2
2016-05-04,"Bikes","Referred",1
2016-05-04,"Bikes","Service",2
2016-05-04,"Checkup","Cancelled by RP",2
2016-05-04,"Checkup","False Alarm",1
2016-05-04,"Checkup","Report Taken",1
2016-05-04,"Checkup","Service",25
2016-05-04,"Patrol","Cited",1
2016-05-04,"Patrol","Service",28
2016-05-04,"Vehicular violations","Advised",6
2016-05-04,"Vehicular violations","Cited",8
2016-05-04,"Vehicular violations","Referred",1
2016-05-04,"Vehicular violations","Report Taken",1
2016-05-04,"Vehicular violations","Service",26
2016-05-04,"Miscellaneous crime/citation","Advised",2
2016-05-04,"Miscellaneous crime/citation","Online Crime Report",1
2016-05-04,"Miscellaneous crime/citation","Report Taken",1
2016-05-04,"Miscellaneous crime/citation","Service",11
2016-05-04,"Miscellaneous crime/citation","Unable to Locate",2
2016-05-04,"Disturbance","Advised",2
2016-05-04,"Disturbance","Service",5
2016-05-04,"Disturbance","Unable to Locate",2
2016-05-04,"Alcohol/drugs","Service",1
2016-05-04,"Alcohol/drugs","Unable to Locate",1
2016-05-04,"Accidents/injuries","Report Taken",1
2016-05-04,"Accidents/injuries","Service",3
2016-05-04,"Burglary/theft","Online Crime Report",4
2016-05-04,"Burglary/theft","Report Taken",2
2016-05-04,"Person search","Service",1
2016-05-04,"Person search","Unable to Locate",2
2016-05-04,"Suspicious activity/threats","Advised",2
2016-05-04,"Suspicious activity/threats","Online Crime Report",1
2016-05-04,"Suspicious activity/threats","Report Taken",2
2016-05-04,"Suspicious activity/threats","Service",6
2016-05-04,"Suspicious activity/threats","Unable to Locate",3
2016-05-04,"Violent crime, physical & sexual abuse, death","Report Taken",1
2016-05-05,"Miscellaneous general","Report Taken",1
2016-05-05,"Miscellaneous general","Service",4
2016-05-05,"Public services","Referred",3
2016-05-05,"Public services","Service",12
2016-05-05,"Bikes","Advised",2
2016-05-05,"Bikes","Service",4
2016-05-05,"Checkup","Advised",1
2016-05-05,"Checkup","Cancelled by RP",1
2016-05-05,"Checkup","Report Taken",1
2016-05-05,"Checkup","Service",23
2016-05-05,"Checkup","Unable to Locate",2
2016-05-05,"Patrol","Arrest Made",1
2016-05-05,"Patrol","Service",14
2016-05-05,"Patrol","Unable to Locate",1
2016-05-05,"Vehicular violations","Advised",6
2016-05-05,"Vehicular violations","Cancelled by RP",1
2016-05-05,"Vehicular violations","Cited",2
2016-05-05,"Vehicular violations","Referred",1
2016-05-05,"Vehicular violations","Service",30
2016-05-05,"Vehicular violations","Unable to Locate",3
2016-05-05,"Miscellaneous crime/citation","Advised",1
2016-05-05,"Miscellaneous crime/citation","Report Taken",1
2016-05-05,"Miscellaneous crime/citation","Service",9
2016-05-05,"Miscellaneous crime/citation","Unable to Locate",2
2016-05-05,"Disturbance","Advised",2
2016-05-05,"Disturbance","Arrest Made",1
2016-05-05,"Disturbance","Service",8
2016-05-05,"Alcohol/drugs","Arrest Made",1
2016-05-05,"Accidents/injuries","Report Taken",1
2016-05-05,"Burglary/theft","False Alarm",1
2016-05-05,"Burglary/theft","Report Taken",2
2016-05-05,"Burglary/theft","Service",2
2016-05-05,"Person search","Advised",1
2016-05-05,"Person search","Report Taken",1
2016-05-05,"Person search","Service",1
2016-05-05,"Person search","Unable to Locate",2
2016-05-05,"Suspicious activity/threats","Arrest Made",2
2016-05-05,"Suspicious activity/threats","Cancelled by RP",1
2016-05-05,"Suspicious activity/threats","Incident Number Given",1
2016-05-05,"Suspicious activity/threats","Service",6
2016-05-05,"Suspicious activity/threats","Unable to Locate",1
2016-05-06,"Miscellaneous general","Advised",1
2016-05-06,"Miscellaneous general","Report Taken",2
2016-05-06,"Miscellaneous general","Service",6
2016-05-06,"Public services","Referred",2
2016-05-06,"Public services","Service",10
2016-05-06,"Bikes","Advised",2
2016-05-06,"Bikes","Cited",1
2016-05-06,"Bikes","Service",2
2016-05-06,"Checkup","Advised",1
2016-05-06,"Checkup","Cancelled by RP",5
2016-05-06,"Checkup","Report Taken",1
2016-05-06,"Checkup","Service",10
2016-05-06,"Patrol","Advised",2
2016-05-06,"Patrol","Service",12
2016-05-06,"Vehicular violations","Advised",7
2016-05-06,"Vehicular violations","Arrest Made",3
2016-05-06,"Vehicular violations","Cited",3
2016-05-06,"Vehicular violations","Referred",2
2016-05-06,"Vehicular violations","Service",9
2016-05-06,"Vehicular violations","Unable to Locate",3
2016-05-06,"Vehicular violations","Unfounded",1
2016-05-06,"Miscellaneous crime/citation","Incident Number Given",1
2016-05-06,"Miscellaneous crime/citation","Report Taken",1
2016-05-06,"Miscellaneous crime/citation","Service",6
2016-05-06,"Disturbance","Advised",4
2016-05-06,"Disturbance","Report Taken",1
2016-05-06,"Disturbance","Service",5
2016-05-06,"Disturbance","Unable to Locate",1
2016-05-06,"Alcohol/drugs","Service",3
2016-05-06,"Accidents/injuries","Arrest Made",1
2016-05-06,"Accidents/injuries","Incident Number Given",1
2016-05-06,"Burglary/theft","Arrest Made",1
2016-05-06,"Burglary/theft","Cancelled by RP",1
2016-05-06,"Person search","Report Taken",1
2016-05-06,"Person search","Service",4
2016-05-06,"Person search","Unable to Locate",2
2016-05-06,"Suspicious activity/threats","Advised",1
2016-05-06,"Suspicious activity/threats","Service",10
2016-05-06,"Suspicious activity/threats","Unable to Locate",4
2016-05-06,"Violent crime, physical & sexual abuse, death","Report Taken",1
2016-05-06,"Violent crime, physical & sexual abuse, death","Service",1
2016-05-07,"Miscellaneous general","Referred",1
2016-05-07,"Miscellaneous general","Service",2
2016-05-07,"Miscellaneous general","Unable to Locate",1
2016-05-07,"Public services","Referred",2
2016-05-07,"Public services","Service",3
2016-05-07,"Public services","Unable to Locate",1
2016-05-07,"Checkup","Advised",1
2016-05-07,"Checkup","Arrest Made",1
2016-05-07,"Checkup","Cancelled by RP",1
2016-05-07,"Checkup","Report Taken",1
2016-05-07,"Checkup","Service",13
2016-05-07,"Checkup","Unable to Locate",1
2016-05-07,"Patrol","Service",14
2016-05-07,"Vehicular violations","Advised",5
2016-05-07,"Vehicular violations","Arrest Made",2
2016-05-07,"Vehicular violations","Cited",2
2016-05-07,"Vehicular violations","Incident Number Given",1
2016-05-07,"Vehicular violations","Service",5
2016-05-07,"Miscellaneous crime/citation","Service",1
2016-05-07,"Disturbance","Advised",3
2016-05-07,"Disturbance","Arrest Made",1
2016-05-07,"Disturbance","Service",4
2016-05-07,"Disturbance","Unable to Locate",3
2016-05-07,"Alcohol/drugs","Service",1
2016-05-07,"Alcohol/drugs","Unable to Locate",2
2016-05-07,"Accidents/injuries","Arrest Made",1
2016-05-07,"Accidents/injuries","Report Taken",1
2016-05-07,"Accidents/injuries","Service",1
2016-05-07,"Burglary/theft","Report Taken",2
2016-05-07,"Burglary/theft","Service",1
2016-05-07,"Person search","Arrest Made",1
2016-05-07,"Person search","Cancelled by RP",1
2016-05-07,"Person search","Service",3
2016-05-07,"Person search","Unable to Locate",1
2016-05-07,"Suspicious activity/threats","Advised",1
2016-05-07,"Suspicious activity/threats","Cancelled by RP",1
2016-05-07,"Suspicious activity/threats","Cited",1
2016-05-07,"Suspicious activity/threats","Service",7
2016-05-07,"Suspicious activity/threats","Unable to Locate",1
2016-05-08,"Public services","Cancelled by RP",1
2016-05-08,"Public services","Service",2
2016-05-08,"Checkup","Cancelled by RP",4
2016-05-08,"Checkup","False Alarm",3
2016-05-08,"Checkup","Referred",1
2016-05-08,"Checkup","Service",6
2016-05-08,"Checkup","Unable to Locate",1
2016-05-08,"Patrol","Service",8
2016-05-08,"Patrol","Unable to Locate",1
2016-05-08,"Vehicular violations","Advised",7
2016-05-08,"Vehicular violations","Arrest Made",1
2016-05-08,"Vehicular violations","Cited",6
2016-05-08,"Vehicular violations","Referred",2
2016-05-08,"Vehicular violations","Service",8
2016-05-08,"Vehicular violations","Unable to Locate",1
2016-05-08,"Vehicular violations","Unfounded",1
2016-05-08,"Miscellaneous crime/citation","Report Taken",2
2016-05-08,"Miscellaneous crime/citation","Service",1
2016-05-08,"Disturbance","Advised",3
2016-05-08,"Disturbance","False Alarm",2
2016-05-08,"Disturbance","Service",3
2016-05-08,"Disturbance","Unable to Locate",5
2016-05-08,"Alcohol/drugs","Unable to Locate",1
2016-05-08,"Alcohol/drugs","Unfounded",1
2016-05-08,"Accidents/injuries","Service",1
2016-05-08,"Burglary/theft","Arrest Made",1
2016-05-08,"Burglary/theft","MORF",1
2016-05-08,"Burglary/theft","Report Taken",1
2016-05-08,"Person search","Cancelled by RP",1
2016-05-08,"Person search","Service",2
2016-05-08,"Suspicious activity/threats","Service",2
2016-05-08,"Suspicious activity/threats","Unable to Locate",3
2016-05-09,"Miscellaneous general","Report Taken",3
2016-05-09,"Miscellaneous general","Service",6
2016-05-09,"Public services","Advised",2
2016-05-09,"Public services","Arrest Made",1
2016-05-09,"Public services","Cancelled by RP",1
2016-05-09,"Public services","Incident Number Given",1
2016-05-09,"Public services","Referred",1
2016-05-09,"Public services","Service",4
2016-05-09,"Bikes","Advised",4
2016-05-09,"Bikes","Referred",1
2016-05-09,"Bikes","Service",1
2016-05-09,"Checkup","Advised",1
2016-05-09,"Checkup","Cancelled by RP",3
2016-05-09,"Checkup","False Alarm",1
2016-05-09,"Checkup","Service",12
2016-05-09,"Checkup","Unable to Locate",1
2016-05-09,"Patrol","Civil Problem",1
2016-05-09,"Patrol","Service",22
2016-05-09,"Vehicular violations","Advised",20
2016-05-09,"Vehicular violations","Cancelled by RP",2
2016-05-09,"Vehicular violations","Cited",12
2016-05-09,"Vehicular violations","Referred",1
2016-05-09,"Vehicular violations","Report Taken",2
2016-05-09,"Vehicular violations","Service",9
2016-05-09,"Miscellaneous crime/citation","Cancelled by RP",1
2016-05-09,"Miscellaneous crime/citation","Service",9
2016-05-09,"Disturbance","Advised",1
2016-05-09,"Disturbance","Report Taken",2
2016-05-09,"Disturbance","Service",4
2016-05-09,"Alcohol/drugs","Advised",1
2016-05-09,"Alcohol/drugs","Report Taken",1
2016-05-09,"Alcohol/drugs","Service",1
2016-05-09,"Accidents/injuries","Incident Number Given",1
2016-05-09,"Accidents/injuries","Report Taken",1
2016-05-09,"Burglary/theft","Online Crime Report",7
2016-05-09,"Burglary/theft","Referred",1
2016-05-09,"Burglary/theft","Report Taken",3
2016-05-09,"Burglary/theft","Service",2
2016-05-09,"Person search","Advised",1
2016-05-09,"Person search","Cancelled by RP",1
2016-05-09,"Person search","Report Taken",1
2016-05-09,"Person search","Service",1
2016-05-09,"Suspicious activity/threats","Advised",1
2016-05-09,"Suspicious activity/threats","Service",6
2016-05-09,"Suspicious activity/threats","Unable to Locate",4
2016-05-09,"Violent crime, physical & sexual abuse, death","Report Taken",1
2016-05-10,"Miscellaneous general","Report Taken",1
2016-05-10,"Miscellaneous general","Service",7
2016-05-10,"Public services","Online Crime Report",1
2016-05-10,"Public services","Referred",2
2016-05-10,"Public services","Service",5
2016-05-10,"Bikes","Advised",1
2016-05-10,"Bikes","Cited",5
2016-05-10,"Bikes","Service",1
2016-05-10,"Checkup","Cancelled by RP",6
2016-05-10,"Checkup","Referred",1
2016-05-10,"Checkup","Service",20
2016-05-10,"Checkup","Unable to Locate",2
2016-05-10,"Patrol","Service",15
2016-05-10,"Vehicular violations","Advised",20
2016-05-10,"Vehicular violations","Cited",7
2016-05-10,"Vehicular violations","Referred",1
2016-05-10,"Vehicular violations","Report Taken",1
2016-05-10,"Vehicular violations","Service",16
2016-05-10,"Vehicular violations","Unable to Locate",1
2016-05-10,"Miscellaneous crime/citation","Advised",5
2016-05-10,"Miscellaneous crime/citation","Incident Number Given",1
2016-05-10,"Miscellaneous crime/citation","Online Crime Report",1
2016-05-10,"Miscellaneous crime/citation","Referred",1
2016-05-10,"Miscellaneous crime/citation","Report Taken",1
2016-05-10,"Miscellaneous crime/citation","Service",11
2016-05-10,"Disturbance","Report Taken",1
2016-05-10,"Disturbance","Service",2
2016-05-10,"Disturbance","Unable to Locate",1
2016-05-10,"Alcohol/drugs","Advised",2
2016-05-10,"Alcohol/drugs","Arrest Made",1
2016-05-10,"Alcohol/drugs","Service",1
2016-05-10,"Accidents/injuries","Incident Number Given",1
2016-05-10,"Accidents/injuries","Report Taken",2
2016-05-10,"Accidents/injuries","Service",1
2016-05-10,"Burglary/theft","Incident Number Given",1
2016-05-10,"Burglary/theft","Online Crime Report",4
2016-05-10,"Person search","Service",2
2016-05-10,"Suspicious activity/threats","Advised",1
2016-05-10,"Suspicious activity/threats","Cancelled by RP",1
2016-05-10,"Suspicious activity/threats","Cited",1
2016-05-10,"Suspicious activity/threats","Incident Number Given",1
2016-05-10,"Suspicious activity/threats","Report Taken",1
2016-05-10,"Suspicious activity/threats","Service",9
2016-05-10,"Suspicious activity/threats","Unable to Locate",3
2016-05-11,"Miscellaneous general","Advised",1
2016-05-11,"Miscellaneous general","Referred",1
2016-05-11,"Miscellaneous general","Report Taken",1
2016-05-11,"Miscellaneous general","Service",5
2016-05-11,"Public services","Incident Number Given",1
2016-05-11,"Public services","Referred",2
2016-05-11,"Public services","Service",11
2016-05-11,"Bikes","Advised",2
2016-05-11,"Bikes","Arrest Made",1
2016-05-11,"Bikes","Cited",4
2016-05-11,"Bikes","Referred",1
2016-05-11,"Checkup","Advised",1
2016-05-11,"Checkup","Cancelled by RP",8
2016-05-11,"Checkup","False Alarm",2
2016-05-11,"Checkup","Report Taken",1
2016-05-11,"Checkup","Service",14
2016-05-11,"Checkup","Unable to Locate",1
2016-05-11,"Checkup","Unfounded",1
2016-05-11,"Patrol","Referred",1
2016-05-11,"Patrol","Service",17
2016-05-11,"Vehicular violations","Advised",7
2016-05-11,"Vehicular violations","Cited",14
2016-05-11,"Vehicular violations","Incident Number Given",2
2016-05-11,"Vehicular violations","Referred",1
2016-05-11,"Vehicular violations","Service",7
2016-05-11,"Vehicular violations","Unable to Locate",1
2016-05-11,"Vehicular violations","Unfounded",1
2016-05-11,"Miscellaneous crime/citation","Advised",1
2016-05-11,"Miscellaneous crime/citation","Arrest Made",1
2016-05-11,"Miscellaneous crime/citation","False Alarm",1
2016-05-11,"Miscellaneous crime/citation","Service",7
2016-05-11,"Miscellaneous crime/citation","Unable to Locate",1
2016-05-11,"Disturbance","Arrest Made",1
2016-05-11,"Disturbance","Report Taken",1
2016-05-11,"Disturbance","Service",2
2016-05-11,"Alcohol/drugs","Service",3
2016-05-11,"Accidents/injuries","Report Taken",1
2016-05-11,"Accidents/injuries","Service",2
2016-05-11,"Burglary/theft","Report Taken",6
2016-05-11,"Burglary/theft","Service",4
2016-05-11,"Burglary/theft","Unable to Locate",1
2016-05-11,"Burglary/theft","Unfounded",1
2016-05-11,"Person search","Service",3
2016-05-11,"Suspicious activity/threats","Arrest Made",1
2016-05-11,"Suspicious activity/threats","Cited",1
2016-05-11,"Suspicious activity/threats","Referred",1
2016-05-11,"Suspicious activity/threats","Service",4
2016-05-11,"Suspicious activity/threats","Unable to Locate",4
2016-05-11,"Violent crime, physical & sexual abuse, death","Service",2
2016-05-12,"Miscellaneous general","Arrest Made",1
2016-05-12,"Miscellaneous general","Service",8
2016-05-12,"Public services","Service",5
2016-05-12,"Bikes","Advised",2
2016-05-12,"Bikes","Cited",20
2016-05-12,"Bikes","Service",8
2016-05-12,"Checkup","Cancelled by RP",2
2016-05-12,"Checkup","Referred",1
2016-05-12,"Checkup","Report Taken",1
2016-05-12,"Checkup","Service",18
2016-05-12,"Checkup","Unfounded",3
2016-05-12,"Patrol","Cited",1
2016-05-12,"Patrol","Service",18
2016-05-12,"Vehicular violations","Advised",11
2016-05-12,"Vehicular violations","Cited",11
2016-05-12,"Vehicular violations","Service",15
2016-05-12,"Vehicular violations","Unable to Locate",1
2016-05-12,"Miscellaneous crime/citation","Advised",15
2016-05-12,"Miscellaneous crime/citation","Report Taken",2
2016-05-12,"Miscellaneous crime/citation","Service",8
2016-05-12,"Miscellaneous crime/citation","Unable to Locate",2
2016-05-12,"Disturbance","Advised",1
2016-05-12,"Disturbance","Report Taken",2
2016-05-12,"Disturbance","Service",1
2016-05-12,"Alcohol/drugs","Arrest Made",1
2016-05-12,"Accidents/injuries","Service",3
2016-05-12,"Burglary/theft","False Alarm",1
2016-05-12,"Burglary/theft","Report Taken",6
2016-05-12,"Burglary/theft","Service",4
2016-05-12,"Person search","Cancelled by RP",1
2016-05-12,"Person search","Service",2
2016-05-12,"Suspicious activity/threats","Advised",2
2016-05-12,"Suspicious activity/threats","Arrest Made",1
2016-05-12,"Suspicious activity/threats","Cited",1
2016-05-12,"Suspicious activity/threats","Service",4
2016-05-12,"Suspicious activity/threats","Unable to Locate",2
2016-05-12,"Suspicious activity/threats","Unfounded",1
2016-05-12,"Violent crime, physical & sexual abuse, death","Report Taken",1
2016-05-13,"Miscellaneous general","Cancelled by RP",1
2016-05-13,"Miscellaneous general","Service",7
2016-05-13,"Public services","Advised",1
2016-05-13,"Public services","Cancelled by RP",1
2016-05-13,"Public services","Referred",1
2016-05-13,"Public services","Service",6
2016-05-13,"Bikes","Advised",1
2016-05-13,"Bikes","Cited",12
2016-05-13,"Bikes","Service",9
2016-05-13,"Checkup","Advised",1
2016-05-13,"Checkup","Cancelled by RP",2
2016-05-13,"Checkup","Service",19
2016-05-13,"Checkup","Unable to Locate",1
2016-05-13,"Patrol","Advised",1
2016-05-13,"Patrol","Service",28
2016-05-13,"Vehicular violations","Advised",13
2016-05-13,"Vehicular violations","Arrest Made",2
2016-05-13,"Vehicular violations","Cited",15
2016-05-13,"Vehicular violations","Service",26
2016-05-13,"Vehicular violations","Unable to Locate",1
2016-05-13,"Miscellaneous crime/citation","Advised",1
2016-05-13,"Miscellaneous crime/citation","Referred",1
2016-05-13,"Miscellaneous crime/citation","Report Taken",1
2016-05-13,"Miscellaneous crime/citation","Service",3
2016-05-13,"Disturbance","Advised",4
2016-05-13,"Disturbance","Civil Problem",1
2016-05-13,"Disturbance","Report Taken",1
2016-05-13,"Disturbance","Service",3
2016-05-13,"Disturbance","Unable to Locate",5
2016-05-13,"Disturbance","Unfounded",1
2016-05-13,"Alcohol/drugs","Service",2
2016-05-13,"Alcohol/drugs","Unable to Locate",1
2016-05-13,"Burglary/theft","Report Taken",3
2016-05-13,"Burglary/theft","Service",2
2016-05-13,"Person search","Service",5
2016-05-13,"Person search","Unable to Locate",1
2016-05-13,"Suspicious activity/threats","Cancelled by RP",1
2016-05-13,"Suspicious activity/threats","Cited",2
2016-05-13,"Suspicious activity/threats","Service",6
2016-05-13,"Suspicious activity/threats","Unable to Locate",2
2016-05-14,"Miscellaneous general","Service",4
2016-05-14,"Public services","Advised",2
2016-05-14,"Public services","Service",4
2016-05-14,"Checkup","Cancelled by RP",1
2016-05-14,"Checkup","Service",18
2016-05-14,"Checkup","Unable to Locate",2
2016-05-14,"Patrol","Civil Problem",1
2016-05-14,"Patrol","Service",17
2016-05-14,"Vehicular violations","Advised",14
2016-05-14,"Vehicular violations","Cited",9
2016-05-14,"Vehicular violations","Referred",1
2016-05-14,"Vehicular violations","Service",19
2016-05-14,"Disturbance","Advised",5
2016-05-14,"Disturbance","Civil Problem",1
2016-05-14,"Disturbance","Unable to Locate",1
2016-05-14,"Accidents/injuries","Service",2
2016-05-14,"Burglary/theft","False Alarm",2
2016-05-14,"Burglary/theft","Service",1
2016-05-14,"Person search","Advised",1
2016-05-14,"Person search","Cancelled by RP",1
2016-05-14,"Person search","Service",4
2016-05-14,"Person search","Unable to Locate",1
2016-05-14,"Suspicious activity/threats","Advised",1
2016-05-14,"Suspicious activity/threats","Arrest Made",1
2016-05-14,"Suspicious activity/threats","Service",7
2016-05-14,"Suspicious activity/threats","Unable to Locate",1
2016-05-14,"Violent crime, physical & sexual abuse, death","Service",2
2016-05-15,"Miscellaneous general","Arrest Made",1
2016-05-15,"Miscellaneous general","Cancelled by RP",1
2016-05-15,"Miscellaneous general","Report Taken",2
2016-05-15,"Miscellaneous general","Service",3
2016-05-15,"Public services","Service",4
2016-05-15,"Checkup","Advised",1
2016-05-15,"Checkup","Arrest Made",1
2016-05-15,"Checkup","Cancelled by RP",3
2016-05-15,"Checkup","False Alarm",3
2016-05-15,"Checkup","Service",18
2016-05-15,"Checkup","Unable to Locate",1
2016-05-15,"Patrol","Service",7
2016-05-15,"Vehicular violations","Advised",2
2016-05-15,"Vehicular violations","Cited",2
2016-05-15,"Vehicular violations","Referred",1
2016-05-15,"Vehicular violations","Service",7
2016-05-15,"Vehicular violations","Unable to Locate",2
2016-05-15,"Miscellaneous crime/citation","Report Taken",1
2016-05-15,"Miscellaneous crime/citation","Service",2
2016-05-15,"Disturbance","Cancelled by RP",1
2016-05-15,"Disturbance","Report Taken",2
2016-05-15,"Disturbance","Service",5
2016-05-15,"Disturbance","Unable to Locate",2
2016-05-15,"Alcohol/drugs","Advised",1
2016-05-15,"Alcohol/drugs","Unable to Locate",1
2016-05-15,"Accidents/injuries","Arrest Made",1
2016-05-15,"Accidents/injuries","Incident Number Given",1
2016-05-15,"Accidents/injuries","Report Taken",1
2016-05-15,"Burglary/theft","Report Taken",2
2016-05-15,"Burglary/theft","Service",1
2016-05-15,"Person search","Service",3
2016-05-15,"Person search","Unable to Locate",2
2016-05-15,"Suspicious activity/threats","Advised",1
2016-05-15,"Suspicious activity/threats","Arrest Made",1
2016-05-15,"Suspicious activity/threats","Report Taken",1
2016-05-15,"Suspicious activity/threats","Service",4
2016-05-15,"Suspicious activity/threats","Unable to Locate",1
2016-05-15,"Violent crime, physical & sexual abuse, death","Arrest Made",1
2016-05-16,"Miscellaneous general","Arrest Made",1
2016-05-16,"Miscellaneous general","Online Crime Report",1
2016-05-16,"Miscellaneous general","Report Taken",4
2016-05-16,"Miscellaneous general","Service",2
2016-05-16,"Public services","Advised",1
2016-05-16,"Public services","Online Crime Report",3
2016-05-16,"Public services","Referred",2
2016-05-16,"Public services","Report Taken",1
2016-05-16,"Public services","Service",13
2016-05-16,"Public services","Unfounded",1
2016-05-16,"Bikes","Cited",5
2016-05-16,"Checkup","Cancelled by RP",5
2016-05-16,"Checkup","Civil Problem",1
2016-05-16,"Checkup","False Alarm",1
2016-05-16,"Checkup","Referred",1
2016-05-16,"Checkup","Service",18
2016-05-16,"Checkup","Unable to Locate",3
2016-05-16,"Checkup","Unfounded",1
2016-05-16,"Patrol","Civil Problem",1
2016-05-16,"Patrol","Service",10
2016-05-16,"Vehicular violations","Advised",1
2016-05-16,"Vehicular violations","Arrest Made",1
2016-05-16,"Vehicular violations","Cancelled by RP",1
